budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2016,NONE,0061SDM,Storm Drainage Mgmt Operations,NONE,QV,Contractual & Other Services,0,-18860.98,18860.98,0,,
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,NONE,QM,Supplies & Materials,0,-14466.81,14466.81,0,EFOP,
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,NONE,QV,Contractual & Other Services,0,-247.79,247.79,0,EFOP,
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,QV,Contractual & Other Services,4510251,-30.8,4368138.22,4368107.42,GNFD,3.17
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,"Water Planning, Financial and Rate Services",QM,Supplies & Materials,233150,0,96232.42,96232.42,EFOP,5.54
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Flood Control,TR,Transfers Out,242437,0,0,0,EFOP,2.19
2016,General Fund,0001STS,Street Services GF,Traffic Operations Maintenance,RC,Capital Outlay,0,0,46500,46500,GNFD,2.4700000000000002
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Floodplain and Drainage Management,RC,Capital Outlay,20000,0,0,0,EFOP,2.2000000000000002
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Floodplain and Drainage Management,RE,Reimbursements,-26000,0,0,0,EFOP,2.2000000000000002
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Special Operations,PS,Personnel Services,6087462,0,5993018.80,5993018.80,GNFD,1.33
2016,Internal Service Fund,0199POM,Express Business Center POM,Disposal of Surplus and Police Unclaimed Property,QM,Supplies & Materials,7862,0,6647.29,6647.29,INSV,5.G
2016,General Fund,0001DPD,Police Department GF,Police Operational Support,PS,Personnel Services,30159858,0,32323663.49,32323663.49,GNFD,1.29
2016,General Fund,0001CTJ,Judiciary GF,Municipal Judges/Cases Docketed,PS,Personnel Services,1829318,0,1930276.88,1930276.88,GNFD,1.18
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Capital Funding,WN,Interest On Notes-Debt Service,25000,0,0,0,EFOP,2.52
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,RC,Capital Outlay,0,0,2376461.56,2376461.56,INSV,5.D
2017,General Fund,0001STS,Street Services GF,Street Forestry Division,RC,Capital Outlay,180636,0,0,0,GNFD,2.57
